net1 X,net1 Y,net11 X,net11 Y,I0.\1  X,I0.\1  Y
4.258874911419197e-05,0.1185530890376412,4.258874911419197e-05,0.117753628176586,4.258874911419197e-05,1.176857668376966e-05
4.259874911419197e-05,0.1190034238693181,4.259874911419197e-05,0.1182003800931859,4.259874911419197e-05,1.18321364680206e-05
4.260874911419198e-05,0.1194545182602431,4.260874911419198e-05,0.1186481596618581,4.260874911419198e-05,1.185804125872759e-05
4.261874911419198e-05,0.1199063714980761,4.261874911419198e-05,0.1190964113569566,4.261874911419198e-05,1.192174631337464e-05
4.262874911419198e-05,0.1203589828692803,4.262874911419198e-05,0.1195456879607474,4.262874911419198e-05,1.194780549159471e-05
4.263874911419198e-05,0.1208123516591191,4.263874911419198e-05,0.1199954364864836,4.263874911419198e-05,1.201165553436712e-05
4.264874911419198e-05,0.1212664771516626,4.264874911419198e-05,0.1204462071670198,4.264874911419198e-05,1.203786879162513e-05
4.265874911419199e-05,0.1217213586297834,4.265874911419199e-05,0.1208974495648731,4.265874911419199e-05,1.210186353918413e-05
4.266874911419199e-05,0.1221769953751627,4.266874911419199e-05,0.1213497113530973,4.266874911419199e-05,1.212823056605967e-05
4.267874911419199e-05,0.1226333866682873,4.267874911419199e-05,0.1218024446538781,4.267874911419199e-05,1.219236973416414e-05
4.268874911419199e-05,0.1230905317884532,4.268874911419199e-05,0.1222561945700287,4.268874911419199e-05,1.221889021986182e-05
4.269874911419199e-05,0.1235484300137658,4.269874911419199e-05,0.1227104157939071,4.269874911419199e-05,1.228317352325228e-05
4.2708749114192e-05,0.1240070806211413,4.2708749114192e-05,0.1231656508475458,4.2708749114192e-05,1.230984715590333e-05
4.2718749114192e-05,0.1244664828863078,4.2718749114192e-05,0.1236213570040297,4.2718749114192e-05,1.237427430824291e-05
4.2728749114192e-05,0.1249266360838061,4.2728749114192e-05,0.1240780741940277,4.2728749114192e-05,1.240110077492855e-05
4.273874911419199e-05,0.1253875394869924,4.273874911419199e-05,0.1245352622819854,4.273874911419199e-05,1.246567148872813e-05
4.274874911419199e-05,0.1258491923680362,4.274874911419199e-05,0.1249934585965127,4.274874911419199e-05,1.249265047604888e-05
4.2758749114192e-05,0.1263115939979254,4.2758749114192e-05,0.125452125604181,4.2758749114192e-05,1.255736446282061e-05
4.2768749114192e-05,0.1267747436464644,4.2768749114192e-05,0.1259117980207494,4.2768749114192e-05,1.258449565488898e-05
4.277874911419201e-05,0.1272386405822767,4.277874911419201e-05,0.126371940925717,4.277874911419201e-05,1.264935262506398e-05
4.278874911419201e-05,0.1277032840728057,4.278874911419201e-05,0.1268330864111353,4.278874911419201e-05,1.267663570658128e-05
4.2798749114192e-05,0.1281686733843161,4.2798749114192e-05,0.1272947021803572,4.2798749114192e-05,1.274163536971125e-05
4.280874911419201e-05,0.1286348077818943,4.280874911419201e-05,0.1277573176907771,4.280874911419201e-05,1.276907002278536e-05
4.281874911419201e-05,0.1291016865294508,4.281874911419201e-05,0.1282204032805735,4.281874911419201e-05,1.283421208759942e-05
4.282874911419201e-05,0.1295693088897198,4.282874911419201e-05,0.1286844857614653,4.282874911419201e-05,1.286179799413527e-05
4.283874911419202e-05,0.1300376741242627,4.283874911419202e-05,0.1291490381175179,4.283874911419202e-05,1.292708216770192e-05
4.284874911419201e-05,0.1305067814934658,4.284874911419201e-05,0.1296145845036933,4.284874911419201e-05,1.295481900847927e-05
4.285874911419202e-05,0.1309766302565456,4.285874911419202e-05,0.1300806005610431,4.285874911419202e-05,1.302024499716255e-05
4.286874911419202e-05,0.1314472196715456,4.286874911419202e-05,0.1305476077766501,4.286874911419202e-05,1.304813245163434e-05
4.287874911419202e-05,0.1319185489953418,4.287874911419202e-05,0.131015084459744,4.287874911419202e-05,1.311369996069353e-05
4.288874911419202e-05,0.1323906174836406,4.288874911419202e-05,0.1314835494182216,4.288874911419202e-05,1.314173770695578e-05
4.289874911419202e-05,0.1328634243909813,4.289874911419202e-05,0.1319524836408717,4.289874911419202e-05,1.320744644096335e-05
4.290874911419203e-05,0.1333369689707374,4.290874911419203e-05,0.1324224032450246,4.290874911419203e-05,1.3235634156247e-05
4.291874911419203e-05,0.1338112504751172,4.291874911419203e-05,0.1328927919104282,4.291874911419203e-05,1.330148381866967e-05
4.292874911419203e-05,0.1342862681551657,4.292874911419203e-05,0.1333641630523685,4.292874911419203e-05,1.332982117901698e-05
4.293874911419203e-05,0.134762021260765,4.293874911419203e-05,0.133836003053095,4.293874911419203e-05,1.339581147218675e-05
